name,slug,tagline,description,type,website_url,github_url,logo_url,company_name,company_logo_char,license,is_featured,is_primitive,star_count,layer_slug
GPT-4o,gpt-4o,"GPT-4o - OpenAI's flagship model.","OpenAI's most advanced flagship model with native multimodal capabilities.",model,https://openai.com/index/gpt-4o,https://github.com/openai/oai,https://openai.com/favicon.ico,OpenAI,O,proprietary,false,false,0,foundation-models
GPT-4 Turbo,gpt-4-turbo,"GPT-4 Turbo - Fast GPT-4.","OpenAI's fast and capable GPT-4 model for high-volume tasks.",model,https://openai.com/blog/new-gpts-4-turbo-and-11208,https://github.com/openai,https://openai.com/favicon.ico,OpenAI,O,proprietary,false,false,0,foundation-models
Claude 3.5 Sonnet,claude-3-5-sonnet,"Claude 3.5 Sonnet - Anthropic's best model.","Anthropic's best model for coding with improved reasoning.",model,https://www.anthropic.com/claude,https://github.com/anthropic,https://www.anthropic.com/favicon.ico,Anthropic,A,proprietary,false,false,0,foundation-models
Claude Code,claude-code,"Claude Code - AI coding assistant."," Anthropic's CLI tool for autonomous coding and software development.",tool,https://docs.anthropic.com/claude-code,https://github.com/anthropic/claude-code,https://www.anthropic.com/favicon.ico,Anthropic,A,open_source,false,false,0,execution-and-sandbox
Claude 3 Haiku,claude-3-haiku,"Claude 3 Haiku - Fast reasoning.","Anthropic's fast and efficient model for high-volume tasks.",model,https://www.anthropic.com/claude,https://github.com/anthropic,https://www.anthropic.com/favicon.ico,Anthropic,A,proprietary,false,false,0,foundation-models
Gemini 2.5 Pro,gemini-2-5-pro,"Gemini 2.5 Pro - Google's top model.","Google's most capable model with enhanced reasoning.",model,https://gemini.google.com,https://github.com/google-deepmind,https://www.google.com/favicon.ico,Google DeepMind,G,proprietary,false,false,0,foundation-models
Gemini 2.0 Flash,gemini-2-0-flash,"Gemini 2.0 Flash - Fast Google model.","Google's fast model for quick responses.",model,https://gemini.google.com,https://github.com/google-deepmind,https://www.google.com/favicon.ico,Google DeepMind,G,proprietary,false,false,0,foundation-models
Llama 4 Scout,llama-4-scout,"Llama 4 Scout - Open meta model.","Meta's open llama model with long context.",model,https://llama.meta.com,https://github.com/meta-llama,https://llama.meta.com/favicon.ico,Meta,M,open_source,false,false,0,foundation-models
Llama 3.3 70B,llama-3-3-70b,"Llama 3.3 70B - Efficient model.","Meta's efficient open model with excellent performance.",model,https://llama.meta.com,https://github.com/meta-llama,https://llama.meta.com/favicon.ico,Meta,M,open_source,false,false,0,foundation-models
Mistral Large 2,mistral-large-2,"Mistral Large 2 - Powerful open model.","Mistral's powerful open model for coding.",model,https://mistral.ai,https://github.com/mistral-ai,https://mistral.ai/favicon.ico,Mistral AI,M,proprietary,false,false,0,foundation-models
Codestral,codestral,"Codestral - Coding model.","Mistral's model specialized for code generation.",model,https://mistral.ai,https://github.com/mistral-ai,https://mistral.ai/favicon.ico,Mistral AI,M,open_source,false,false,0,foundation-models
Groq LPU,groq-lpu,"Groq LPU - Ultra-fast inference.","Groq's Language Processing Unit for sub-millisecond latency.",tool,https://groq.com,https://github.com/groq,https://groq.com/favicon.ico,Groq,G,proprietary,false,false,0,inference-and-hosting
Together Inference,together-inference,"Together Inference - Fast model hosting.","Fast inference on open models via Together AI.",tool,https://together.ai,https://github.com/togethercomputer,https://together.ai/favicon.ico,Together AI,T,proprietary,false,false,0,inference-and-hosting
